2015/03/13 09:30:52	T	xlive 	3636:4940 	[OUT 0'0"125]     CLibXLiveImpl::setAppSettingPath 	FL:LibXLiveImpl.cpp(212)
2015/03/13 09:30:52	T	xlive 	3636:4940 	[IN]              CLibXLiveImpl::setTemporaryFolder 	FL:LibXLiveImpl.cpp(218)
2015/03/13 09:30:52	T	xlive 	3636:4940 	[OUT 0'0"13]      CLibXLiveImpl::setTemporaryFolder 	FL:LibXLiveImpl.cpp(218)
2015/03/13 09:30:52	T	xlive 	3636:4940 	[IN]              CLibXLiveImpl::setSyncThreadCount 	FL:LibXLiveImpl.cpp(236)
2015/03/13 09:30:52	T	xlive 	3636:4940 	[IN]              CSyncManager::setSyncThreadCount 	FL:SyncManager.cpp(669)
2015/03/13 09:30:52	T	xlive 	3636:4940 	[OUT 0'0"0]       CSyncManager::setSyncThreadCount 	FL:SyncManager.cpp(669)
2015/03/13 09:30:52	T	xlive 	3636:4940 	[OUT 0'0"0]       CLibXLiveImpl::setSyncThreadCount 	FL:LibXLiveImpl.cpp(236)
2015/03/13 09:30:52	T	xlive 	3636:4940 	[IN]              CLibXLiveImpl::setEnableLANSync 	FL:LibXLiveImpl.cpp(230)
2015/03/13 09:30:52	T	xlive 	3636:4940 	[OUT 0'0"0]       CLibXLiveImpl::setEnableLANSync 	FL:LibXLiveImpl.cpp(230)
2015/03/13 09:30:52	T	xlive 	3636:4940 	[IN]              CLibXLiveImpl::setUsingHTTPS 	FL:LibXLiveImpl.cpp(255)
2015/03/13 09:30:52	T	xlive 	3636:4940 	[OUT 0'0"0]       CLibXLiveImpl::setUsingHTTPS 	FL:LibXLiveImpl.cpp(255)
2015/03/13 09:30:52	T	xlive 	3636:4940 	[IN]              CLibXLiveImpl::setLargeFileLimit 	FL:LibXLiveImpl.cpp(280)
2015/03/13 09:30:52	T	xlive 	3636:4940 	[OUT 0'0"0]       CLibXLiveImpl::setLargeFileLimit 	FL:LibXLiveImpl.cpp(280)
2015/03/13 09:30:52	T	xlive 	3636:4940 	[IN]              CLibXLiveImpl::setExcludeFolderPath 	FL:LibXLiveImpl.cpp(273)
2015/03/13 09:30:52	T	xlive 	3636:4940 	[IN]              CSyncManager::delFolderItemsByPath 	FL:SyncManager.cpp(201)
2015/03/13 09:30:52	T	xlive 	3636:4940 	[IN]              CDBFS::init 	FL:DBFS.cpp(21)
2015/03/13 09:30:52	T	xlive 	3636:4940 	[IN]              CDBFS::_initDBEnv 	FL:DBFS.cpp(737)
2015/03/13 09:30:52	T	xlive 	3636:4940 	[IN]              CDBFS::_cleanIncorrectDB 	FL:DBFS.cpp(951)
2015/03/13 09:30:52	T	xlive 	3636:4940 	[OUT 0'0"0]       CDBFS::_cleanIncorrectDB 	FL:DBFS.cpp(951)
2015/03/13 09:30:52	T	xlive 	3636:4940 	[IN]              CDBFS::_cleanIncorrectDB 	FL:DBFS.cpp(951)
2015/03/13 09:30:52	T	xlive 	3636:4940 	[OUT 0'0"0]       CDBFS::_cleanIncorrectDB 	FL:DBFS.cpp(951)
2015/03/13 09:30:52	T	xlive 	3636:4940 	[IN]              CDBFS::_cleanIncorrectDB 	FL:DBFS.cpp(951)
2015/03/13 09:30:52	T	xlive 	3636:4940 	[OUT 0'0"0]       CDBFS::_cleanIncorrectDB 	FL:DBFS.cpp(951)
2015/03/13 09:30:52	T	xlive 	3636:4940 	[IN]              CDBFS::_cleanIncorrectDB 	FL:DBFS.cpp(951)
2015/03/13 09:30:52	T	xlive 	3636:4940 	[OUT 0'0"0]       CDBFS::_cleanIncorrectDB 	FL:DBFS.cpp(951)
2015/03/13 09:30:52	T	xlive 	3636:4940 	[IN]              CDBFS::_cleanIncorrectDB 	FL:DBFS.cpp(951)
2015/03/13 09:30:52	T	xlive 	3636:4940 	[OUT 0'0"0]       CDBFS::_cleanIncorrectDB 	FL:DBFS.cpp(951)
2015/03/13 09:30:52	T	xlive 	3636:4940 	[IN]              CDBFS::_cleanIncorrectDB 	FL:DBFS.cpp(951)
2015/03/13 09:30:52	T	xlive 	3636:4940 	[OUT 0'0"0]       CDBFS::_cleanIncorrectDB 	FL:DBFS.cpp(951)
2015/03/13 09:30:52	T	xlive 	3636:4940 	[IN]              CDBFS::_cleanIncorrectDB 	FL:DBFS.cpp(951)
2015/03/13 09:30:52	T	xlive 	3636:4940 	[OUT 0'0"1]       CDBFS::_cleanIncorrectDB 	FL:DBFS.cpp(951)
2015/03/13 09:30:52	T	xlive 	3636:4940 	[IN]              CDBFS::_createTables 	FL:DBFS.cpp(829)
2015/03/13 09:30:52	T	xlive 	3636:4940 	[OUT 0'0"83]      CDBFS::_createTables 	FL:DBFS.cpp(829)
2015/03/13 09:30:52	T	xlive 	3636:4940 	[IN]              CDBFS::_fixIncorrectData 	FL:DBFS.cpp(923)
2015/03/13 09:30:52	T	xlive 	3636:4940 	[IN]              CDBFS::queryBindPath 	FL:DBFS.cpp(506)
